mechanism,trial_id,service_effect,predicate,evidence_class
Speranza-style,digest-037,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-038,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-039,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-040,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-041,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-042,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-043,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-044,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-045,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-046,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-047,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-048,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-049,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-050,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-051,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-052,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-053,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-054,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-055,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-056,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-057,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-058,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-059,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-060,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-061,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-062,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-063,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-064,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-065,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-066,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-067,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-068,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-069,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-070,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-071,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-072,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-073,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-074,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-075,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-076,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-077,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-078,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-079,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-080,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-081,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-082,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-083,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-084,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-085,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-086,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-087,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-088,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-089,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-090,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-091,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-092,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-093,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-094,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-095,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-096,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-097,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-098,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-099,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-100,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-101,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-102,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-103,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-104,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-105,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-106,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-107,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-108,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-109,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-110,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-111,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-112,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-113,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-114,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-115,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-116,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-117,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-118,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-119,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-120,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-121,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-122,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-123,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-124,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-125,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-126,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-127,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-128,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-129,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-130,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-131,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-132,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-133,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-134,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-135,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-136,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-137,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-138,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-139,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-140,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-141,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-142,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-143,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-144,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-145,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-146,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-147,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-148,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-149,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-150,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-151,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-152,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-153,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-154,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-155,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-156,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-157,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-158,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-159,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-160,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-161,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-162,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-163,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-164,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-165,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-166,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-167,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-168,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-169,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-170,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-171,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-172,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-173,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-174,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-175,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-176,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-177,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-178,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-179,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-180,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-181,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-182,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-183,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-184,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-185,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-186,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-187,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-188,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-189,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-190,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-191,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-192,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-193,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-194,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-195,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-196,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-197,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-198,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-199,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-200,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-201,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-202,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-203,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-204,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-205,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-206,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-207,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-208,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-209,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-210,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-211,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-212,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-213,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-214,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-215,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-216,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-217,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-218,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-219,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-220,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-221,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-222,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-223,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-224,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-225,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-226,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-227,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-228,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-229,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-230,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-231,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-232,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-233,false,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-234,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-235,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-236,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-237,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-238,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-239,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-240,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-241,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-242,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-243,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-244,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-245,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-246,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-247,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-248,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-249,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-250,false,signed_request,deterministic_derivation_from_manuscript_summary
CausalCred,digest-001,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-002,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-003,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-004,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-005,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-006,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-007,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-008,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-009,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-010,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-011,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-012,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-013,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-014,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-015,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-016,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-017,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-018,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-019,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-020,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-021,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-022,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-023,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-024,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-025,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-026,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-027,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-028,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-029,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-030,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-031,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-032,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-033,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-034,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-035,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-036,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-037,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-038,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-039,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-040,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-041,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-042,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-043,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-044,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-045,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-046,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-047,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-048,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-049,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-050,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-051,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-052,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-053,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-054,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-055,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-056,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-057,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-058,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-059,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-060,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-061,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-062,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-063,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-064,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-065,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-066,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-067,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-068,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-069,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-070,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-071,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-072,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-073,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-074,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-075,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-076,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-077,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-078,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-079,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-080,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-081,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-082,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-083,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-084,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-085,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-086,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-087,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-088,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-089,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-090,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-091,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-092,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-093,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-094,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-095,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-096,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-097,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-098,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-099,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-100,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-101,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-102,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-103,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-104,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-105,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-106,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-107,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-108,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-109,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-110,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-111,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-112,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-113,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-114,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-115,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-116,false,protected_effect,deterministic_derivation_from_manuscript_summary
CausalCred,digest-117,false,protected_effect,deterministic_derivation_from_manuscript_summary
