trial_id,initial_policy_decision,final_policy_decision,evidence_class
benign-0077,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0078,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0079,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0080,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0081,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0082,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0083,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0084,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0085,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0086,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0087,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0088,permit,deny,deterministic_derivation_from_manuscript_summary
benign-0089,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0090,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0091,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0092,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0093,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0094,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0095,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0096,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0097,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0098,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0099,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0100,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0101,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0102,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0103,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0104,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0105,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0106,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0107,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0108,permit,deny,deterministic_derivation_from_manuscript_summary
benign-0109,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0110,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0111,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0112,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0113,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0114,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0115,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0116,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0117,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0118,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0119,permit,deny,deterministic_derivation_from_manuscript_summary
benign-0120,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0121,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0122,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0123,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0124,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0125,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0126,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0127,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0128,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0129,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0130,permit,deny,deterministic_derivation_from_manuscript_summary
benign-0131,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0132,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0133,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0134,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0135,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0136,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0137,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0138,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0139,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0140,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0141,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0142,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0143,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0144,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0145,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0146,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0147,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0148,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0149,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0150,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0151,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0152,permit,deny,deterministic_derivation_from_manuscript_summary
benign-0153,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0154,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0155,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0156,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0157,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0158,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0159,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0160,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0161,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0162,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0163,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0164,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0165,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0166,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0167,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0168,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0169,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0170,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0171,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0172,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0173,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0174,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0175,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0176,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0177,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0178,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0179,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0180,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0181,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0182,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0183,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0184,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0185,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0186,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0187,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0188,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0189,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0190,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0191,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0192,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0193,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0194,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0195,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0196,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0197,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0198,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0199,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0200,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0201,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0202,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0203,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0204,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0205,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0206,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0207,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0208,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0209,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0210,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0211,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0212,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0213,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0214,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0215,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0216,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0217,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0218,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0219,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0220,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0221,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0222,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0223,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0224,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0225,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0226,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0227,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0228,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0229,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0230,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0231,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0232,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0233,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0234,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0235,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0236,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0237,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0238,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0239,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0240,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0241,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0242,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0243,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0244,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0245,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0246,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0247,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0248,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0249,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0250,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0251,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0252,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0253,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0254,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0255,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0256,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0257,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0258,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0259,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0260,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0261,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0262,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0263,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0264,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0265,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0266,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0267,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0268,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0269,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0270,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0271,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0272,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0273,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0274,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0275,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0276,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0277,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0278,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0279,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0280,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0281,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0282,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0283,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0284,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0285,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0286,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0287,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0288,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0289,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0290,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0291,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0292,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0293,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0294,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0295,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0296,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0297,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0298,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0299,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0300,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0301,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0302,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0303,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0304,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0305,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0306,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0307,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0308,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0309,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0310,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0311,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0312,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0313,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0314,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0315,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0316,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0317,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0318,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0319,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0320,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0321,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0322,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0323,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0324,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0325,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0326,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0327,permit,deny,deterministic_derivation_from_manuscript_summary
benign-0328,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0329,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0330,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0331,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0332,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0333,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0334,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0335,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0336,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0337,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0338,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0339,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0340,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0341,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0342,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0343,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0344,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0345,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0346,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0347,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0348,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0349,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0350,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0351,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0352,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0353,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0354,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0355,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0356,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0357,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0358,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0359,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0360,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0361,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0362,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0363,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0364,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0365,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0366,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0367,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0368,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0369,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0370,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0371,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0372,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0373,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0374,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0375,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0376,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0377,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0378,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0379,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0380,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0381,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0382,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0383,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0384,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0385,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0386,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0387,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0388,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0389,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0390,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0391,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0392,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0393,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0394,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0395,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0396,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0397,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0398,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0399,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0400,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0401,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0402,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0403,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0404,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0405,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0406,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0407,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0408,permit,deny,deterministic_derivation_from_manuscript_summary
benign-0409,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0410,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0411,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0412,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0413,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0414,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0415,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0416,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0417,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0418,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0419,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0420,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0421,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0422,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0423,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0424,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0425,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0426,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0427,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0428,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0429,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0430,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0431,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0432,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0433,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0434,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0435,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0436,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0437,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0438,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0439,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0440,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0441,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0442,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0443,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0444,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0445,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0446,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0447,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0448,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0449,permit,permit,deterministic_derivation_from_manuscript_summary
